iter	Passed	Remaining
0	5	5498
1	7	3616
2	9	3023
3	10	2702
4	12	2544
5	14	2436
6	16	2340
7	18	2266
8	20	2206
9	21	2152
10	23	2154
11	26	2151
12	28	2145
13	30	2129
14	32	2116
15	34	2108
16	36	2099
17	38	2086
18	40	2068
19	42	2068
20	44	2052
21	46	2056
22	47	2032
23	49	2023
24	52	2031
25	53	2019
26	55	2011
27	57	2007
28	59	2006
29	61	1991
30	63	1979
31	65	1968
32	67	1968
33	68	1956
34	70	1955
35	72	1949
36	74	1942
37	76	1932
38	78	1924
39	80	1927
40	82	1921
41	83	1912
42	85	1910
43	88	1912
44	89	1908
45	91	1904
46	93	1897
47	95	1892
48	97	1886
49	98	1879
50	100	1869
51	102	1863
52	103	1855
53	105	1850
54	107	1845
55	109	1840
56	110	1834
57	112	1829
58	114	1826
59	116	1827
60	118	1824
61	120	1819
62	122	1815
63	123	1810
64	125	1805
65	127	1802
66	129	1797
67	130	1793
68	132	1794
69	134	1792
70	136	1790
71	138	1787
72	140	1786
73	142	1782
74	144	1777
75	146	1779
76	148	1779
77	150	1778
78	152	1775
79	153	1769
80	155	1766
81	157	1767
82	159	1766
83	161	1762
84	163	1758
85	164	1753
86	167	1754
87	169	1753
88	170	1750
89	173	1750
90	175	1749
91	177	1747
92	179	1746
93	181	1747
94	183	1744
95	184	1740
96	186	1737
97	188	1734
98	190	1730
99	191	1727
100	194	1728
101	196	1726
102	197	1723
103	199	1721
104	201	1720
105	203	1717
106	205	1714
107	207	1712
108	209	1709
109	211	1707
110	213	1705
111	214	1703
112	216	1700
113	218	1699
114	220	1698
115	222	1696
116	224	1693
117	226	1692
118	228	1689
119	230	1688
120	232	1686
121	234	1684
122	235	1681
123	237	1680
124	239	1678
125	241	1677
126	243	1674
127	245	1670
128	247	1668
129	248	1665
130	250	1661
131	252	1658
132	254	1659
133	256	1656
134	258	1654
135	260	1652
136	261	1649
137	263	1646
138	265	1643
139	267	1640
140	268	1637
141	270	1634
142	272	1633
143	274	1630
144	276	1627
145	277	1625
146	279	1622
147	281	1619
148	283	1618
149	285	1616
150	287	1614
151	288	1611
152	290	1609
153	292	1606
154	294	1603
155	296	1601
156	297	1599
157	299	1597
158	301	1595
159	303	1592
160	304	1588
161	306	1586
162	308	1583
163	310	1580
164	312	1580
165	314	1577
166	315	1574
167	317	1572
168	319	1569
169	320	1566
170	322	1563
171	324	1561
172	326	1560
173	328	1558
174	330	1557
175	332	1555
176	334	1553
177	335	1551
178	337	1549
179	340	1549
180	341	1546
181	343	1543
182	345	1540
183	346	1538
184	348	1535
185	350	1532
186	352	1530
187	354	1529
188	356	1528
189	358	1526
190	360	1525
191	362	1523
192	363	1521
193	365	1520
194	367	1518
195	369	1516
196	371	1514
197	373	1512
198	375	1510
199	377	1508
200	378	1505
201	380	1504
202	382	1502
203	384	1500
204	386	1497
205	387	1494
206	389	1492
207	391	1489
208	393	1487
209	394	1484
210	396	1482
211	398	1479
212	399	1477
213	401	1474
214	403	1473
215	405	1472
216	407	1470
217	409	1468
218	411	1466
219	412	1463
220	415	1463
221	416	1460
222	418	1458
223	420	1457
224	422	1455
225	424	1454
226	426	1453
227	428	1451
228	430	1449
